,month,repository_name,repository_url,new_stars,repository_created_at,repository_language,t_stars
48,2014-03,bootflat.github.io,https://github.com/bootflat/bootflat.github.io,2089,2014-03-06 07:04:21,CSS,2116.0
49,2014-03,brick,https://github.com/alfredxing/brick,2055,,,
50,2014-02,neovim,https://github.com/neovim/neovim,5053,2014-01-31 13:39:22,C,4995.0
51,2014-02,pageres,https://github.com/sindresorhus/pageres,3640,2014-02-07 18:15:18,JavaScript,3655.0
52,2014-02,north,https://github.com/Snugug/north,2808,2013-11-08 15:00:48,CSS,3792.0
53,2014-02,hackathon-starter,https://github.com/sahat/hackathon-starter,2467,2013-11-13 17:24:12,CSS,5497.0
54,2014-02,drone,https://github.com/drone/drone,2462,2014-02-07 07:54:44,Go,2448.0
55,2014-02,instantclick,https://github.com/dieulot/instantclick,2448,2013-11-23 10:08:40,JavaScript,2520.0
56,2014-02,textql,https://github.com/dinedal/textql,2351,2014-02-03 03:48:49,Go,2356.0
57,2014-02,localForage,https://github.com/mozilla/localForage,2043,2013-10-31 00:10:06,JavaScript,2181.0
58,2014-02,free-programming-books,https://github.com/vhf/free-programming-books,1995,2013-10-11 06:50:37,null,19806.0
59,2014-02,godot,https://github.com/okamstudio/godot,1738,,,
60,2014-01,LightTable,https://github.com/LightTable/LightTable,4001,2012-06-27 22:32:43,Clojure,4738.0
61,2014-01,Hover,https://github.com/IanLunn/Hover,3350,2014-01-02 14:27:35,CSS,3378.0
62,2014-01,colors,https://github.com/mrmrs/colors,3225,2013-06-17 06:31:51,CSS,3237.0
63,2014-01,hackathon-starter,https://github.com/sahat/hackathon-starter,3052,2013-11-13 17:24:12,CSS,3073.0
64,2014-01,free-programming-books,https://github.com/vhf/free-programming-books,3045,2013-10-11 06:50:37,null,17861.0
65,2014-01,linux-dash,https://github.com/afaqurk/linux-dash,2469,2013-10-16 14:58:47,CSS,2477.0
66,2014-01,js-the-right-way,https://github.com/braziljs/js-the-right-way,2353,2012-08-07 23:39:05,CSS,2639.0
67,2014-01,codecombat,https://github.com/codecombat/codecombat,2260,,,
68,2014-01,quietnet,https://github.com/Katee/quietnet,2222,2013-11-01 18:09:57,Python,2251.0
