,month,repository_name,repository_url,new_stars
145,2013-05,topcoat,https://github.com/topcoat/topcoat,1650
146,2013-05,pdf2htmlEX,https://github.com/coolwanglu/pdf2htmlEX,1516
147,2013-05,stringer,https://github.com/swanson/stringer,1450
148,2013-05,xctool,https://github.com/facebook/xctool,1426
149,2013-05,polymer,https://github.com/Polymer/polymer,1364
150,2013-04,chardin.js,https://github.com/heelhook/chardin.js,2730
151,2013-04,helios,https://github.com/helios-framework/helios,2243
152,2013-04,bootstrap-wysiwyg,https://github.com/mindmup/bootstrap-wysiwyg,2163
153,2013-04,csscss,https://github.com/zmoazeni/csscss,2048
154,2013-04,verlet-js,https://github.com/subprotocol/verlet-js,1974
155,2013-04,bootstrap,https://github.com/twitter/bootstrap,1943
156,2013-04,Snap.js,https://github.com/jakiestfu/Snap.js,1717
157,2013-04,rendr,https://github.com/airbnb/rendr,1394
158,2013-04,log,https://github.com/adamschwartz/log,1354
159,2013-04,responsive-nav.js,https://github.com/viljamis/responsive-nav.js,1203
160,2013-03,Flat-UI,https://github.com/designmodo/Flat-UI,3883
161,2013-03,jQuery-menu-aim,https://github.com/kamens/jQuery-menu-aim,3705
162,2013-03,intro.js,https://github.com/usablica/intro.js,3675
163,2013-03,Chart.js,https://github.com/nnnick/Chart.js,3471
164,2013-03,bootstrap,https://github.com/twitter/bootstrap,2299
165,2013-03,huginn,https://github.com/cantino/huginn,2142
166,2013-03,dashing,https://github.com/Shopify/dashing,1526
167,2013-03,pixi.js,https://github.com/GoodBoyDigital/pixi.js,1414
168,2013-03,NewsBlur,https://github.com/samuelclay/NewsBlur,1308
169,2013-03,linuxgems,https://github.com/WilliamHackmore/linuxgems,1246
170,2013-02,discourse,https://github.com/discourse/discourse,3492
171,2013-02,flight,https://github.com/twitter/flight,2548
172,2013-02,typeahead.js,https://github.com/twitter/typeahead.js,2293
173,2013-02,bootstrap,https://github.com/twitter/bootstrap,1871
174,2013-02,hint.css,https://github.com/chinchang/hint.css,1654
175,2013-02,dropzone,https://github.com/enyo/dropzone,1558
176,2013-02,Redacted-Font,https://github.com/christiannaths/Redacted-Font,1289
177,2013-02,YouCompleteMe,https://github.com/Valloric/YouCompleteMe,1100
178,2013-02,jquery.payment,https://github.com/stripe/jquery.payment,1011
179,2013-02,learnGitBranching,https://github.com/pcottle/learnGitBranching,915
180,2013-01,Parsley.js,https://github.com/guillaumepotier/Parsley.js,2111
181,2013-01,bootstrap,https://github.com/twitter/bootstrap,2019
182,2013-01,Font-Awesome,https://github.com/FortAwesome/Font-Awesome,1521
183,2013-01,howdoi,https://github.com/gleitz/howdoi,1158
184,2013-01,junior,https://github.com/justspamjustin/junior,1117
185,2013-01,d3,https://github.com/mbostock/d3,1033
186,2013-01,elusive-iconfont,https://github.com/aristath/elusive-iconfont,987
187,2013-01,html5-boilerplate,https://github.com/h5bp/html5-boilerplate,868
188,2013-01,angular.js,https://github.com/angular/angular.js,848
189,2013-01,jquery,https://github.com/jquery/jquery,832
190,2012-12,better_errors,https://github.com/charliesome/better_errors,2087
191,2012-12,bootstrap,https://github.com/twitter/bootstrap,1732
192,2012-12,nui,https://github.com/tombenner/nui,1265
193,2012-12,analytics.js,https://github.com/segmentio/analytics.js,1121
194,2012-12,Font-Awesome,https://github.com/FortAwesome/Font-Awesome,1079
195,2012-12,d3,https://github.com/mbostock/d3,981
196,2012-12,select2,https://github.com/ivaynberg/select2,872
197,2012-12,xcharts,https://github.com/tenXer/xcharts,829
198,2012-12,rails_panel,https://github.com/dejan/rails_panel,813
199,2012-12,brackets,https://github.com/adobe/brackets,789
200,2012-11,ratchet,https://github.com/maker/ratchet,2483
201,2012-11,bootstrap,https://github.com/twitter/bootstrap,1580
202,2012-11,colour-schemes,https://github.com/daylerees/colour-schemes,1379
203,2012-11,pickadate.js,https://github.com/amsul/pickadate.js,1372
204,2012-11,bootstrap-modal,https://github.com/jschr/bootstrap-modal,1356
205,2012-11,alertify.js,https://github.com/fabien-d/alertify.js,1190
206,2012-11,Garlic.js,https://github.com/guillaumepotier/Garlic.js,934
207,2012-11,dashing,https://github.com/Shopify/dashing,932
208,2012-11,d3,https://github.com/mbostock/d3,894
209,2012-11,x-editable,https://github.com/vitalets/x-editable,890
210,2012-10,bootstrap,https://github.com/twitter/bootstrap,1720
211,2012-10,selfstarter,https://github.com/lockitron/selfstarter,925
212,2012-10,brackets,https://github.com/adobe/brackets,818
213,2012-10,pattern,https://github.com/clips/pattern,790
214,2012-10,foundation,https://github.com/zurb/foundation,785
215,2012-10,gitlabhq,https://github.com/gitlabhq/gitlabhq,784
